,AntArea,BalmArea,Tech,FLH Difference [h],Balm FLH Type
0,DKW1,DK1_Node,wind,0.0,Antares
1,5_DKW1_SRES,DK1_SRES5,wind,0.0,Antares
2,6_DKW1_SRES,DK1_SRES6,wind,0.0,Antares
3,8_DKW1_SRES,DK1_SRES8,wind,0.0,Antares
4,DKE1,DK2_Node,wind,0.0,Antares
5,5_DKE1_SRES,DK2_SRES5,wind,0.0,Antares
6,6_DKE1_SRES,DK2_SRES6,wind,0.0,Antares
7,8_DKE1_SRES,DK2_SRES8,wind,0.0,Antares
8,DE00,DE4-W_Node,wind,0.0,Antares
9,5_DE00_SRES,DE4-W_SRES5,wind,0.0,Antares
10,6_DE00_SRES,DE4-W_SRES6,wind,0.0,Antares
11,8_DE00_SRES,DE4-W_SRES8,wind,0.0,Antares
12,DE00,DE4-S_Node,wind,0.0,Antares
13,5_DE00_SRES,DE4-S_SRES5,wind,0.0,Antares
14,6_DE00_SRES,DE4-S_SRES6,wind,0.0,Antares
15,8_DE00_SRES,DE4-S_SRES8,wind,0.0,Antares
16,DE00,DE4-E_Node,wind,0.0,Antares
17,5_DE00_SRES,DE4-E_SRES5,wind,0.0,Antares
18,6_DE00_SRES,DE4-E_SRES6,wind,0.0,Antares
19,8_DE00_SRES,DE4-E_SRES8,wind,0.0,Antares
20,DE00,DE4-N_Node,wind,0.0,Antares
21,5_DE00_SRES,DE4-N_SRES5,wind,0.0,Antares
22,6_DE00_SRES,DE4-N_SRES6,wind,0.0,Antares
23,8_DE00_SRES,DE4-N_SRES8,wind,0.0,Antares
24,DKW1,DK1_Node,solar,0.0,Antares
25,5_DKW1_SRES,DK1_SRES5,solar,0.0,Antares
26,6_DKW1_SRES,DK1_SRES6,solar,0.0,Antares
27,8_DKW1_SRES,DK1_SRES8,solar,0.0,Antares
28,DKE1,DK2_Node,solar,0.0,Antares
29,5_DKE1_SRES,DK2_SRES5,solar,0.0,Antares
30,6_DKE1_SRES,DK2_SRES6,solar,0.0,Antares
31,8_DKE1_SRES,DK2_SRES8,solar,0.0,Antares
32,DE00,DE4-W_Node,solar,0.0,Antares
33,5_DE00_SRES,DE4-W_SRES5,solar,0.0,Antares
34,6_DE00_SRES,DE4-W_SRES6,solar,0.0,Antares
35,8_DE00_SRES,DE4-W_SRES8,solar,0.0,Antares
36,DE00,DE4-S_Node,solar,0.0,Antares
37,5_DE00_SRES,DE4-S_SRES5,solar,0.0,Antares
38,6_DE00_SRES,DE4-S_SRES6,solar,0.0,Antares
39,8_DE00_SRES,DE4-S_SRES8,solar,0.0,Antares
40,DE00,DE4-E_Node,solar,0.0,Antares
41,5_DE00_SRES,DE4-E_SRES5,solar,0.0,Antares
42,6_DE00_SRES,DE4-E_SRES6,solar,0.0,Antares
43,8_DE00_SRES,DE4-E_SRES8,solar,0.0,Antares
44,DE00,DE4-N_Node,solar,0.0,Antares
45,5_DE00_SRES,DE4-N_SRES5,solar,0.0,Antares
46,6_DE00_SRES,DE4-N_SRES6,solar,0.0,Antares
47,8_DE00_SRES,DE4-N_SRES8,solar,0.0,Antares
48,6_de00_sres,DE4-E_A,solar,-111.88000000000011,FLH Input
49,6_de00_sres,DE4-N_A,solar,-75.38,FLH Input
50,de00,DE4-S_A,solar,157.67000000000007,FLH Input
51,6_de00_sres,DE4-W_A,solar,-97.17000000000007,FLH Input
52,5_dke1_sres,DK2_NoDH,solar,203.34000000000015,FLH Input
53,5_dkw1_sres,DK1_NoDH,solar,133.41999999999985,FLH Input
54,6_de00_sres,DE4-E_VRE-ONS_RG1_20-30,solar,-164.37000000000012,FLH Input
55,6_de00_sres,DE4-N_VRE-ONS_RG1_20-30,solar,-126.03999999999996,FLH Input
56,de00,DE4-S_VRE-ONS_RG1_20-30,solar,99.8900000000001,FLH Input
57,6_de00_sres,DE4-W_VRE-ONS_RG1_20-30,solar,-148.92000000000007,FLH Input
58,5_dkw1_sres,DK1_VRE-ONS_RG1_20-30,solar,79.12999999999988,FLH Input
59,5_dke1_sres,DK2_VRE-ONS_RG1_20-30,solar,146.97000000000003,FLH Input
60,6_de00_sres,DE4-E_VRE-ONS_RG2_20-30,solar,-59.398000000000025,FLH Input
61,6_de00_sres,DE4-N_VRE-ONS_RG2_20-30,solar,-24.724000000000046,FLH Input
62,6_de00_sres,DE4-S_VRE-ONS_RG2_20-30,solar,-160.1400000000001,FLH Input
63,6_de00_sres,DE4-W_VRE-ONS_RG2_20-30,solar,-45.426000000000045,FLH Input
64,5_dkw1_sres,DK1_VRE-ONS_RG2_20-30,solar,187.72000000000003,FLH Input
65,5_dke1_sres,DK2_VRE-ONS_RG2_20-30,solar,259.70000000000005,FLH Input
66,de00,DE4-E_VRE-ONS_RG1_30-40,solar,96.41000000000008,FLH Input
67,de00,DE4-N_VRE-ONS_RG1_30-40,solar,138.72000000000003,FLH Input
68,8_de00_sres,DE4-S_VRE-ONS_RG1_30-40,solar,-26.12000000000012,FLH Input
69,de00,DE4-W_VRE-ONS_RG1_30-40,solar,113.46000000000004,FLH Input
70,5_dkw1_sres,DK1_VRE-ONS_RG1_30-40,solar,-39.66000000000008,FLH Input
71,5_dke1_sres,DK2_VRE-ONS_RG1_30-40,solar,23.6400000000001,FLH Input
72,6_de00_sres,DE4-E_VRE-ONS_RG2_30-40,solar,-163.28999999999996,FLH Input
73,6_de00_sres,DE4-N_VRE-ONS_RG2_30-40,solar,-125.0,FLH Input
74,de00,DE4-S_VRE-ONS_RG2_30-40,solar,101.07000000000016,FLH Input
75,6_de00_sres,DE4-W_VRE-ONS_RG2_30-40,solar,-147.86000000000013,FLH Input
76,5_dkw1_sres,DK1_VRE-ONS_RG2_30-40,solar,80.24000000000001,FLH Input
77,5_dke1_sres,DK2_VRE-ONS_RG2_30-40,solar,148.12000000000012,FLH Input
78,de00,DE4-E_VRE-ONS_RG1_40-50,solar,83.08000000000015,FLH Input
79,de00,DE4-N_VRE-ONS_RG1_40-50,solar,125.86000000000013,FLH Input
80,8_de00_sres,DE4-S_VRE-ONS_RG1_40-50,solar,-40.799999999999955,FLH Input
81,de00,DE4-W_VRE-ONS_RG1_40-50,solar,100.32000000000016,FLH Input
82,5_dkw1_sres,DK1_VRE-ONS_RG1_40-50,solar,-53.450000000000045,FLH Input
83,5_dke1_sres,DK2_VRE-ONS_RG1_40-50,solar,9.330000000000155,FLH Input
84,6_de00_sres,DE4-E_VRE-ONS_RG2_40-50,solar,-175.35000000000014,FLH Input
85,6_de00_sres,DE4-N_VRE-ONS_RG2_40-50,solar,-136.6400000000001,FLH Input
86,de00,DE4-S_VRE-ONS_RG2_40-50,solar,87.79000000000019,FLH Input
87,6_de00_sres,DE4-W_VRE-ONS_RG2_40-50,solar,-159.75,FLH Input
88,5_dkw1_sres,DK1_VRE-ONS_RG2_40-50,solar,67.76999999999998,FLH Input
89,5_dke1_sres,DK2_VRE-ONS_RG2_40-50,solar,135.17000000000007,FLH Input
90,de00,DE4-E_VRE-ONS_RG1_50,solar,70.77000000000021,FLH Input
91,de00,DE4-N_VRE-ONS_RG1_50,solar,113.98000000000002,FLH Input
92,8_de00_sres,DE4-S_VRE-ONS_RG1_50,solar,-54.340000000000146,FLH Input
93,de00,DE4-W_VRE-ONS_RG1_50,solar,88.18000000000006,FLH Input
94,5_dkw1_sres,DK1_VRE-ONS_RG1_50,solar,-66.18000000000006,FLH Input
95,5_dke1_sres,DK2_VRE-ONS_RG1_50,solar,-3.8899999999998727,FLH Input
96,6_de00_sres,DE4-E_VRE-ONS_RG2_50,solar,-186.48000000000002,FLH Input
97,6_de00_sres,DE4-N_VRE-ONS_RG2_50,solar,-147.3900000000001,FLH Input
98,de00,DE4-S_VRE-ONS_RG2_50,solar,75.54000000000019,FLH Input
99,6_de00_sres,DE4-W_VRE-ONS_RG2_50,solar,-170.73000000000002,FLH Input
100,5_dkw1_sres,DK1_VRE-ONS_RG2_50,solar,56.25,FLH Input
101,5_dke1_sres,DK2_VRE-ONS_RG2_50,solar,123.21000000000004,FLH Input
102,5_de00_sres,DE4-E_A,wind,572.0300000000002,FLH Input
103,5_de00_sres,DE4-N_A,wind,437.82000000000016,FLH Input
104,5_de00_sres,DE4-S_A,wind,79.41000000000031,FLH Input
105,5_de00_sres,DE4-W_A,wind,286.98,FLH Input
106,5_dke1_sres,DK2_NoDH,wind,-49.48000000000002,FLH Input
107,5_dkw1_sres,DK1_NoDH,wind,1001.98,FLH Input
108,8_de00_sres,DE4-E_Offshore,wind,378.1199999999999,FLH Input
109,de00,DE4-N_Offshore,wind,-3.7399999999997817,FLH Input
110,de00,DE4-W_Offshore,wind,-3.7399999999997817,FLH Input
111,5_dkw1_sres,DK1_Offshore,wind,-668.8400000000001,FLH Input
112,5_dke1_sres,DK2_Offshore,wind,-649.6799999999998,FLH Input
113,de00,DE4-NW_VRE-OFF1_RG1_20-30,wind,-384.03999999999996,FLH Input
114,de00,DE4-NW_VRE-OFF1_RG2_20-30,wind,-644.8899999999994,FLH Input
115,de00,DE4-NW_VRE-OFF1_RG3_20-30,wind,-749.9399999999996,FLH Input
116,de00,DE4-NE_VRE-OFF1_RG2_20-30,wind,-503.8000000000002,FLH Input
117,de00,DE4-NE_VRE-OFF1_RG3_20-30,wind,-503.8000000000002,FLH Input
118,6_dke1_sres,DK2_VRE-OFF1_RG1_20-30,wind,-202.59999999999945,FLH Input
119,6_dke1_sres,DK2_VRE-OFF1_RG2_20-30,wind,-202.59999999999945,FLH Input
120,8_dkw1_sres,DK1_VRE-OFF1_RG1_20-30,wind,482.77999999999975,FLH Input
121,8_dkw1_sres,DK1_VRE-OFF1_RG2_20-30,wind,93.42999999999938,FLH Input
122,dkw1,DK1_VRE-OFF1_RG3_20-30,wind,-90.27999999999975,FLH Input
123,de00,DE4-NW_VRE-OFF1_RG1_30-40,wind,-384.03999999999996,FLH Input
124,de00,DE4-NW_VRE-OFF1_RG2_30-40,wind,-644.8899999999994,FLH Input
125,de00,DE4-NW_VRE-OFF1_RG3_30-40,wind,-749.9399999999996,FLH Input
126,de00,DE4-NE_VRE-OFF1_RG2_30-40,wind,-503.8000000000002,FLH Input
127,de00,DE4-NE_VRE-OFF1_RG3_30-40,wind,-503.8000000000002,FLH Input
128,6_dke1_sres,DK2_VRE-OFF1_RG1_30-40,wind,-202.59999999999945,FLH Input
129,6_dke1_sres,DK2_VRE-OFF1_RG2_30-40,wind,-202.59999999999945,FLH Input
130,8_dkw1_sres,DK1_VRE-OFF1_RG1_30-40,wind,482.77999999999975,FLH Input
131,8_dkw1_sres,DK1_VRE-OFF1_RG2_30-40,wind,93.42999999999938,FLH Input
132,dkw1,DK1_VRE-OFF1_RG3_30-40,wind,-90.27999999999975,FLH Input
133,de00,DE4-NW_VRE-OFF1_RG1_40-50,wind,-664.7799999999997,FLH Input
134,de00,DE4-NW_VRE-OFF1_RG2_40-50,wind,-864.0199999999995,FLH Input
135,de00,DE4-NW_VRE-OFF1_RG3_40-50,wind,-958.8299999999999,FLH Input
136,de00,DE4-NE_VRE-OFF1_RG2_40-50,wind,-503.8000000000002,FLH Input
137,de00,DE4-NE_VRE-OFF1_RG3_40-50,wind,-503.8000000000002,FLH Input
138,6_dke1_sres,DK2_VRE-OFF1_RG1_40-50,wind,-202.59999999999945,FLH Input
139,6_dke1_sres,DK2_VRE-OFF1_RG2_40-50,wind,-202.59999999999945,FLH Input
140,8_dkw1_sres,DK1_VRE-OFF1_RG1_40-50,wind,143.44999999999982,FLH Input
141,dkw1,DK1_VRE-OFF1_RG2_40-50,wind,-161.66999999999916,FLH Input
142,dkw1,DK1_VRE-OFF1_RG3_40-50,wind,-308.8299999999999,FLH Input
143,de00,DE4-NW_VRE-OFF1_RG1_50,wind,-664.7799999999997,FLH Input
144,de00,DE4-NW_VRE-OFF1_RG2_50,wind,-864.0199999999995,FLH Input
145,de00,DE4-NW_VRE-OFF1_RG3_50,wind,-958.8299999999999,FLH Input
146,de00,DE4-NE_VRE-OFF1_RG2_50,wind,-503.8000000000002,FLH Input
147,de00,DE4-NE_VRE-OFF1_RG3_50,wind,-503.8000000000002,FLH Input
148,6_dke1_sres,DK2_VRE-OFF1_RG1_50,wind,-202.59999999999945,FLH Input
149,6_dke1_sres,DK2_VRE-OFF1_RG2_50,wind,-202.59999999999945,FLH Input
150,8_dkw1_sres,DK1_VRE-OFF1_RG1_50,wind,143.44999999999982,FLH Input
151,dkw1,DK1_VRE-OFF1_RG2_50,wind,-161.66999999999916,FLH Input
152,dkw1,DK1_VRE-OFF1_RG3_50,wind,-308.8299999999999,FLH Input
153,de00,DE4-N_VRE-ONS_LWST100_RG1,wind,-1139.3199999999997,FLH Input
154,de00,DE4-N_VRE-ONS_LWST100_RG2,wind,-1194.6499999999996,FLH Input
155,de00,DE4-N_VRE-ONS_LWST100_RG3,wind,-1086.58,FLH Input
156,de00,DE4-E_VRE-ONS_LWST100_RG1,wind,-972.7600000000002,FLH Input
157,de00,DE4-E_VRE-ONS_LWST100_RG2,wind,-808.7200000000003,FLH Input
158,de00,DE4-E_VRE-ONS_LWST100_RG3,wind,-494.09999999999945,FLH Input
159,de00,DE4-S_VRE-ONS_LWST100_RG1,wind,-407.9899999999998,FLH Input
160,de00,DE4-S_VRE-ONS_LWST100_RG2,wind,-77.33999999999969,FLH Input
161,8_de00_sres,DE4-S_VRE-ONS_LWST100_RG3,wind,384.3299999999999,FLH Input
162,de00,DE4-W_VRE-ONS_LWST100_RG1,wind,-945.4499999999998,FLH Input
163,de00,DE4-W_VRE-ONS_LWST100_RG2,wind,-951.3000000000002,FLH Input
164,de00,DE4-W_VRE-ONS_LWST100_RG3,wind,-452.39999999999964,FLH Input
165,dkw1,DK1_VRE-ONS_LWST100_RG1,wind,-492.39999999999964,FLH Input
166,6_dkw1_sres,DK1_VRE-ONS_LWST100_RG2,wind,450.5599999999995,FLH Input
167,6_dkw1_sres,DK1_VRE-ONS_LWST100_RG3,wind,408.5500000000002,FLH Input
168,6_dke1_sres,DK2_VRE-ONS_LWST100_RG1,wind,-774.5799999999999,FLH Input
